2021-06-01 23:30:35.975 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 55 ] - Starting BusinessApplication using Java 1.8.0_281 on ElliotsMacBook-Pro.local with PID 68889 (/Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework/lk-business/target/classes started by elliot in /Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework)
2021-06-01 23:30:35.977 - [ DEBUG ] [ com.lucky.kali.business.BusinessApplication : 56 ] - Running with Spring Boot v2.5.0, Spring v5.3.7
2021-06-01 23:30:35.978 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 667 ] - The following profiles are active: local
2021-06-01 23:30:36.704 - [ WARN  ] [ org.mybatis.spring.mapper.ClassPathMapperScanner : 44 ] - No MyBatis mapper was found in '[com/lucky/kali/business/mapper]' package. Please check your configuration.
2021-06-01 23:30:37.073 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Initializing ProtocolHandler ["http-nio-7002"]
2021-06-01 23:30:37.074 - [ INFO  ] [ org.apache.catalina.core.StandardService : 173 ] - Starting service [Tomcat]
2021-06-01 23:30:37.074 - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 173 ] - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-01 23:30:37.151 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring embedded WebApplicationContext
2021-06-01 23:30:37.512 - [ INFO  ] [ c.a.d.s.b.a.DruidDataSourceAutoConfigure : 56 ] - Init DruidDataSource
2021-06-01 23:30:37.790 - [ INFO  ] [ com.alibaba.druid.pool.DruidDataSource : 990 ] - {dataSource-1} inited
2021-06-01 23:30:38.101 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Starting ProtocolHandler ["http-nio-7002"]
2021-06-01 23:30:38.140 - [ INFO  ] [ c.a.cloud.nacos.registry.NacosServiceRegistry : 75 ] - nacos registry, DEFAULT_GROUP lk-business 192.168.1.47:7002 register finished
2021-06-01 23:30:38.153 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 61 ] - Started BusinessApplication in 2.859 seconds (JVM running for 3.696)
2021-06-01 23:30:50.545 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-01 23:34:45.601 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 55 ] - Starting BusinessApplication using Java 1.8.0_281 on ElliotsMacBook-Pro.local with PID 70999 (/Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework/lk-business/target/classes started by elliot in /Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework)
2021-06-01 23:34:45.603 - [ DEBUG ] [ com.lucky.kali.business.BusinessApplication : 56 ] - Running with Spring Boot v2.5.0, Spring v5.3.7
2021-06-01 23:34:45.604 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 667 ] - The following profiles are active: local
2021-06-01 23:34:46.355 - [ WARN  ] [ org.mybatis.spring.mapper.ClassPathMapperScanner : 44 ] - No MyBatis mapper was found in '[com/lucky/kali/business/mapper]' package. Please check your configuration.
2021-06-01 23:34:46.712 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Initializing ProtocolHandler ["http-nio-7002"]
